Year,variable,value,Type,Powertrain,Technology,Market
2021,Sed-ICE-Hig-Private,5.676256106,Sedan,ICEV,ICEV-High,Personal
2022,Sed-ICE-Hig-Private,8.647294586,Sedan,ICEV,ICEV-High,Personal
2023,Sed-ICE-Hig-Private,11.60117643,Sedan,ICEV,ICEV-High,Personal
2024,Sed-ICE-Hig-Private,14.51641827,Sedan,ICEV,ICEV-High,Personal
2025,Sed-ICE-Hig-Private,16.9229241,Sedan,ICEV,ICEV-High,Personal
2026,Sed-ICE-Hig-Private,19.29290483,Sedan,ICEV,ICEV-High,Personal
2027,Sed-ICE-Hig-Private,21.60194154,Sedan,ICEV,ICEV-High,Personal
2028,Sed-ICE-Hig-Private,23.77913133,Sedan,ICEV,ICEV-High,Personal
2029,Sed-ICE-Hig-Private,25.79837882,Sedan,ICEV,ICEV-High,Personal
2030,Sed-ICE-Hig-Private,27.59135926,Sedan,ICEV,ICEV-High,Personal
2031,Sed-ICE-Hig-Private,29.1152098,Sedan,ICEV,ICEV-High,Personal
2032,Sed-ICE-Hig-Private,30.23594664,Sedan,ICEV,ICEV-High,Personal
2033,Sed-ICE-Hig-Private,30.93879575,Sedan,ICEV,ICEV-High,Personal
2034,Sed-ICE-Hig-Private,31.19695225,Sedan,ICEV,ICEV-High,Personal
2035,Sed-ICE-Hig-Private,31.22002342,Sedan,ICEV,ICEV-High,Personal
2036,Sed-ICE-Hig-Private,30.84273755,Sedan,ICEV,ICEV-High,Personal
2037,Sed-ICE-Hig-Private,30.11707906,Sedan,ICEV,ICEV-High,Personal
2038,Sed-ICE-Hig-Private,29.19395656,Sedan,ICEV,ICEV-High,Personal
2039,Sed-ICE-Hig-Private,28.1071034,Sedan,ICEV,ICEV-High,Personal
2040,Sed-ICE-Hig-Private,26.90408528,Sedan,ICEV,ICEV-High,Personal
2041,Sed-ICE-Hig-Private,25.61631574,Sedan,ICEV,ICEV-High,Personal
2042,Sed-ICE-Hig-Private,24.23646987,Sedan,ICEV,ICEV-High,Personal
2043,Sed-ICE-Hig-Private,22.79450846,Sedan,ICEV,ICEV-High,Personal
2044,Sed-ICE-Hig-Private,21.31393586,Sedan,ICEV,ICEV-High,Personal
2045,Sed-ICE-Hig-Private,19.79909592,Sedan,ICEV,ICEV-High,Personal
2046,Sed-ICE-Hig-Private,18.246368,Sedan,ICEV,ICEV-High,Personal
2047,Sed-ICE-Hig-Private,16.66816236,Sedan,ICEV,ICEV-High,Personal
2048,Sed-ICE-Hig-Private,15.09163931,Sedan,ICEV,ICEV-High,Personal
