Year,variable,value,Type,Powertrain,Technology,Market
2021,Sed-ICE-Hig-Private,21.14250611,Sedan,ICEV,ICEV-High,Personal
2022,Sed-ICE-Hig-Private,32.11379283,Sedan,ICEV,ICEV-High,Personal
2023,Sed-ICE-Hig-Private,42.95199652,Sedan,ICEV,ICEV-High,Personal
2024,Sed-ICE-Hig-Private,53.57514218,Sedan,ICEV,ICEV-High,Personal
2025,Sed-ICE-Hig-Private,62.25206805,Sedan,ICEV,ICEV-High,Personal
2026,Sed-ICE-Hig-Private,70.72971431,Sedan,ICEV,ICEV-High,Personal
2027,Sed-ICE-Hig-Private,78.91757689,Sedan,ICEV,ICEV-High,Personal
2028,Sed-ICE-Hig-Private,86.55730849,Sedan,ICEV,ICEV-High,Personal
2029,Sed-ICE-Hig-Private,93.55703308,Sedan,ICEV,ICEV-High,Personal
2030,Sed-ICE-Hig-Private,99.67406384,Sedan,ICEV,ICEV-High,Personal
2031,Sed-ICE-Hig-Private,104.8503366,Sedan,ICEV,ICEV-High,Personal
2032,Sed-ICE-Hig-Private,108.5357356,Sedan,ICEV,ICEV-High,Personal
2033,Sed-ICE-Hig-Private,110.6904461,Sedan,ICEV,ICEV-High,Personal
2034,Sed-ICE-Hig-Private,111.2332267,Sedan,ICEV,ICEV-High,Personal
2035,Sed-ICE-Hig-Private,110.9249185,Sedan,ICEV,ICEV-High,Personal
2036,Sed-ICE-Hig-Private,109.1892858,Sedan,ICEV,ICEV-High,Personal
2037,Sed-ICE-Hig-Private,106.2254648,Sedan,ICEV,ICEV-High,Personal
2038,Sed-ICE-Hig-Private,102.578106,Sedan,ICEV,ICEV-High,Personal
2039,Sed-ICE-Hig-Private,98.37409336,Sedan,ICEV,ICEV-High,Personal
2040,Sed-ICE-Hig-Private,93.78698417,Sedan,ICEV,ICEV-High,Personal
2041,Sed-ICE-Hig-Private,88.93182202,Sedan,ICEV,ICEV-High,Personal
2042,Sed-ICE-Hig-Private,83.78808985,Sedan,ICEV,ICEV-High,Personal
2043,Sed-ICE-Hig-Private,78.46419021,Sedan,ICEV,ICEV-High,Personal
2044,Sed-ICE-Hig-Private,73.04473154,Sedan,ICEV,ICEV-High,Personal
2045,Sed-ICE-Hig-Private,67.54759763,Sedan,ICEV,ICEV-High,Personal
2046,Sed-ICE-Hig-Private,61.96340683,Sedan,ICEV,ICEV-High,Personal
2047,Sed-ICE-Hig-Private,56.33723901,Sedan,ICEV,ICEV-High,Personal
2048,Sed-ICE-Hig-Private,50.76303184,Sedan,ICEV,ICEV-High,Personal
2049,Sed-ICE-Hig-Private,45.30296228,Sedan,ICEV,ICEV-High,Personal
2050,Sed-ICE-Hig-Private,40.06703836,Sedan,ICEV,ICEV-High,Personal
2021,Sed-ICE-Avg-Private,494.6818452,Sedan,ICEV,ICEV-Avg,Personal
2022,Sed-ICE-Avg-Private,475.3601112,Sedan,ICEV,ICEV-Avg,Personal
2023,Sed-ICE-Avg-Private,456.5874615,Sedan,ICEV,ICEV-Avg,Personal
2024,Sed-ICE-Avg-Private,437.5574504,Sedan,ICEV,ICEV-Avg,Personal
2025,Sed-ICE-Avg-Private,415.4024329,Sedan,ICEV,ICEV-Avg,Personal
2026,Sed-ICE-Avg-Private,390.8909298,Sedan,ICEV,ICEV-Avg,Personal
2027,Sed-ICE-Avg-Private,364.5180407,Sedan,ICEV,ICEV-Avg,Personal
2028,Sed-ICE-Avg-Private,336.3131132,Sedan,ICEV,ICEV-Avg,Personal
2029,Sed-ICE-Avg-Private,306.6549722,Sedan,ICEV,ICEV-Avg,Personal
2030,Sed-ICE-Avg-Private,276.498183,Sedan,ICEV,ICEV-Avg,Personal
2031,Sed-ICE-Avg-Private,247.6681531,Sedan,ICEV,ICEV-Avg,Personal
2032,Sed-ICE-Avg-Private,221.0616579,Sedan,ICEV,ICEV-Avg,Personal
2033,Sed-ICE-Avg-Private,198.0677144,Sedan,ICEV,ICEV-Avg,Personal
2034,Sed-ICE-Avg-Private,179.3533839,Sedan,ICEV,ICEV-Avg,Personal
2035,Sed-ICE-Avg-Private,165.5802,Sedan,ICEV,ICEV-Avg,Personal
2036,Sed-ICE-Avg-Private,154.9040045,Sedan,ICEV,ICEV-Avg,Personal
2037,Sed-ICE-Avg-Private,146.2116419,Sedan,ICEV,ICEV-Avg,Personal
2038,Sed-ICE-Avg-Private,139.0018431,Sedan,ICEV,ICEV-Avg,Personal
2039,Sed-ICE-Avg-Private,132.441062,Sedan,ICEV,ICEV-Avg,Personal
2040,Sed-ICE-Avg-Private,126.2477051,Sedan,ICEV,ICEV-Avg,Personal
2041,Sed-ICE-Avg-Private,120.1092125,Sedan,ICEV,ICEV-Avg,Personal
2042,Sed-ICE-Avg-Private,113.7403082,Sedan,ICEV,ICEV-Avg,Personal
2043,Sed-ICE-Avg-Private,107.1683157,Sedan,ICEV,ICEV-Avg,Personal
2044,Sed-ICE-Avg-Private,100.4119968,Sedan,ICEV,ICEV-Avg,Personal
2045,Sed-ICE-Avg-Private,93.41979992,Sedan,ICEV,ICEV-Avg,Personal
2046,Sed-ICE-Avg-Private,86.21113535,Sedan,ICEV,ICEV-Avg,Personal
2047,Sed-ICE-Avg-Private,78.82210472,Sedan,ICEV,ICEV-Avg,Personal
2048,Sed-ICE-Avg-Private,71.38065548,Sedan,ICEV,ICEV-Avg,Personal
2049,Sed-ICE-Avg-Private,63.98588813,Sedan,ICEV,ICEV-Avg,Personal
2050,Sed-ICE-Avg-Private,56.80706074,Sedan,ICEV,ICEV-Avg,Personal
2021,Sed-ICE-Low-Private,3.861459658,Sedan,HEV,HEV,Personal
2022,Sed-ICE-Low-Private,4.757963666,Sedan,HEV,HEV,Personal
2023,Sed-ICE-Low-Private,5.825028718,Sedan,HEV,HEV,Personal
2024,Sed-ICE-Low-Private,6.991245598,Sedan,HEV,HEV,Personal
2025,Sed-ICE-Low-Private,10.43452509,Sedan,HEV,HEV,Personal
2026,Sed-ICE-Low-Private,13.95435187,Sedan,HEV,HEV,Personal
2027,Sed-ICE-Low-Private,17.64424645,Sedan,HEV,HEV,Personal
2028,Sed-ICE-Low-Private,21.60656429,Sedan,HEV,HEV,Personal
2029,Sed-ICE-Low-Private,26.11671938,Sedan,HEV,HEV,Personal
2030,Sed-ICE-Low-Private,30.22931935,Sedan,HEV,HEV,Personal
2031,Sed-ICE-Low-Private,34.37976704,Sedan,HEV,HEV,Personal
2032,Sed-ICE-Low-Private,38.78854853,Sedan,HEV,HEV,Personal
2033,Sed-ICE-Low-Private,42.62109238,Sedan,HEV,HEV,Personal
2034,Sed-ICE-Low-Private,46.48006796,Sedan,HEV,HEV,Personal
2035,Sed-ICE-Low-Private,47.45978784,Sedan,HEV,HEV,Personal
2036,Sed-ICE-Low-Private,48.04964756,Sedan,HEV,HEV,Personal
2037,Sed-ICE-Low-Private,48.0791479,Sedan,HEV,HEV,Personal
2038,Sed-ICE-Low-Private,47.57370921,Sedan,HEV,HEV,Personal
2039,Sed-ICE-Low-Private,46.3963944,Sedan,HEV,HEV,Personal
2040,Sed-ICE-Low-Private,44.66845651,Sedan,HEV,HEV,Personal
2041,Sed-ICE-Low-Private,42.37068755,Sedan,HEV,HEV,Personal
2042,Sed-ICE-Low-Private,39.53843778,Sedan,HEV,HEV,Personal
2043,Sed-ICE-Low-Private,36.3220509,Sedan,HEV,HEV,Personal
2044,Sed-ICE-Low-Private,32.86448944,Sedan,HEV,HEV,Personal
2045,Sed-ICE-Low-Private,29.27712404,Sedan,HEV,HEV,Personal
2046,Sed-ICE-Low-Private,25.71285424,Sedan,HEV,HEV,Personal
2047,Sed-ICE-Low-Private,22.30249347,Sedan,HEV,HEV,Personal
2048,Sed-ICE-Low-Private,19.173247,Sedan,HEV,HEV,Personal
2049,Sed-ICE-Low-Private,16.38966318,Sedan,HEV,HEV,Personal
2050,Sed-ICE-Low-Private,13.97433402,Sedan,HEV,HEV,Personal
2021,Sed-PHEV-Private,1.85332769,Sedan,PHEV,PHEV,Personal
2022,Sed-PHEV-Private,2.145267223,Sedan,PHEV,PHEV,Personal
2023,Sed-PHEV-Private,2.40824886,Sedan,PHEV,PHEV,Personal
2024,Sed-PHEV-Private,2.791960206,Sedan,PHEV,PHEV,Personal
2025,Sed-PHEV-Private,4.428107208,Sedan,PHEV,PHEV,Personal
2026,Sed-PHEV-Private,6.435546734,Sedan,PHEV,PHEV,Personal
2027,Sed-PHEV-Private,8.722151852,Sedan,PHEV,PHEV,Personal
2028,Sed-PHEV-Private,11.25416181,Sedan,PHEV,PHEV,Personal
2029,Sed-PHEV-Private,13.1652558,Sedan,PHEV,PHEV,Personal
2030,Sed-PHEV-Private,15.41785634,Sedan,PHEV,PHEV,Personal
2031,Sed-PHEV-Private,17.91801482,Sedan,PHEV,PHEV,Personal
2032,Sed-PHEV-Private,19.59789531,Sedan,PHEV,PHEV,Personal
2033,Sed-PHEV-Private,21.19213645,Sedan,PHEV,PHEV,Personal
2034,Sed-PHEV-Private,22.23497466,Sedan,PHEV,PHEV,Personal
2035,Sed-PHEV-Private,23.15675674,Sedan,PHEV,PHEV,Personal
2036,Sed-PHEV-Private,23.9475559,Sedan,PHEV,PHEV,Personal
2037,Sed-PHEV-Private,24.55291702,Sedan,PHEV,PHEV,Personal
2038,Sed-PHEV-Private,24.95139828,Sedan,PHEV,PHEV,Personal
2039,Sed-PHEV-Private,25.0593777,Sedan,PHEV,PHEV,Personal
2040,Sed-PHEV-Private,24.91705238,Sedan,PHEV,PHEV,Personal
2041,Sed-PHEV-Private,24.49985153,Sedan,PHEV,PHEV,Personal
2042,Sed-PHEV-Private,23.8435808,Sedan,PHEV,PHEV,Personal
2043,Sed-PHEV-Private,23.02371766,Sedan,PHEV,PHEV,Personal
2044,Sed-PHEV-Private,22.11292495,Sedan,PHEV,PHEV,Personal
2045,Sed-PHEV-Private,21.14039228,Sedan,PHEV,PHEV,Personal
