Year,variable,value,Type,Powertrain,Technology
2021,Sed-ICE-Hig,1.34E-11,Sedan,ICEV,ICEV-High
2022,Sed-ICE-Hig,1.11E-11,Sedan,ICEV,ICEV-High
2023,Sed-ICE-Hig,1.28E-11,Sedan,ICEV,ICEV-High
2024,Sed-ICE-Hig,1.14E-11,Sedan,ICEV,ICEV-High
2025,Sed-ICE-Hig,7.25E-12,Sedan,ICEV,ICEV-High
2026,Sed-ICE-Hig,5.75E-12,Sedan,ICEV,ICEV-High
2027,Sed-ICE-Hig,1.03E-11,Sedan,ICEV,ICEV-High
2028,Sed-ICE-Hig,8.47E-12,Sedan,ICEV,ICEV-High
2029,Sed-ICE-Hig,7.25E-12,Sedan,ICEV,ICEV-High
2030,Sed-ICE-Hig,9.59E-12,Sedan,ICEV,ICEV-High
2031,Sed-ICE-Hig,7.25E-12,Sedan,ICEV,ICEV-High
2032,Sed-ICE-Hig,1.02E-11,Sedan,ICEV,ICEV-High
2033,Sed-ICE-Hig,7.25E-12,Sedan,ICEV,ICEV-High
2034,Sed-ICE-Hig,6.49E-12,Sedan,ICEV,ICEV-High
2035,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2036,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2037,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2038,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2039,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2040,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2041,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2042,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2043,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2044,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2045,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2046,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2047,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2048,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2049,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2050,Sed-ICE-Hig,0,Sedan,ICEV,ICEV-High
2021,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2022,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2023,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2024,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2025,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2026,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2027,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2028,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2029,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2030,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2031,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2032,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2033,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2034,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2035,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2036,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2037,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2038,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2039,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2040,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2041,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2042,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2043,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2044,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2045,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2046,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2047,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2048,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2049,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2050,Sed-ICE-Avg,0,Sedan,ICEV,ICEV-Avg
2021,Sed-ICE-Low,322.8995291,Sedan,HEV,HEV
2022,Sed-ICE-Low,48.49568138,Sedan,HEV,HEV
2023,Sed-ICE-Low,75.03091292,Sedan,HEV,HEV
2024,Sed-ICE-Low,30.64052575,Sedan,HEV,HEV
2025,Sed-ICE-Low,1481.660558,Sedan,HEV,HEV
2026,Sed-ICE-Low,1380.469028,Sedan,HEV,HEV
