Year,variable,value,Type,Powertrain,Technology,Market
2021,Sed-ICE-Hig-Private,0.184236306,Sedan,ICEV,ICEV-High,Personal
2022,Sed-ICE-Hig-Private,0.179317418,Sedan,ICEV,ICEV-High,Personal
2023,Sed-ICE-Hig-Private,0.173358429,Sedan,ICEV,ICEV-High,Personal
2024,Sed-ICE-Hig-Private,0.165456908,Sedan,ICEV,ICEV-High,Personal
2025,Sed-ICE-Hig-Private,0.134511637,Sedan,ICEV,ICEV-High,Personal
2026,Sed-ICE-Hig-Private,0.127293094,Sedan,ICEV,ICEV-High,Personal
2027,Sed-ICE-Hig-Private,0.119912821,Sedan,ICEV,ICEV-High,Personal
2028,Sed-ICE-Hig-Private,0.111784521,Sedan,ICEV,ICEV-High,Personal
2029,Sed-ICE-Hig-Private,0.10537272,Sedan,ICEV,ICEV-High,Personal
2030,Sed-ICE-Hig-Private,0.098305836,Sedan,ICEV,ICEV-High,Personal
2031,Sed-ICE-Hig-Private,0.096668129,Sedan,ICEV,ICEV-High,Personal
2032,Sed-ICE-Hig-Private,0.09379349,Sedan,ICEV,ICEV-High,Personal
2033,Sed-ICE-Hig-Private,0.092105057,Sedan,ICEV,ICEV-High,Personal
2034,Sed-ICE-Hig-Private,0.089346071,Sedan,ICEV,ICEV-High,Personal
2035,Sed-ICE-Hig-Private,0.093229295,Sedan,ICEV,ICEV-High,Personal
2036,Sed-ICE-Hig-Private,0.084951145,Sedan,ICEV,ICEV-High,Personal
2037,Sed-ICE-Hig-Private,0.07649834,Sedan,ICEV,ICEV-High,Personal
2038,Sed-ICE-Hig-Private,0.068104793,Sedan,ICEV,ICEV-High,Personal
2039,Sed-ICE-Hig-Private,0.060519237,Sedan,ICEV,ICEV-High,Personal
2040,Sed-ICE-Hig-Private,0.051739616,Sedan,ICEV,ICEV-High,Personal
2041,Sed-ICE-Hig-Private,0.045610401,Sedan,ICEV,ICEV-High,Personal
2042,Sed-ICE-Hig-Private,0.040141826,Sedan,ICEV,ICEV-High,Personal
2043,Sed-ICE-Hig-Private,0.03484037,Sedan,ICEV,ICEV-High,Personal
2044,Sed-ICE-Hig-Private,0.030199459,Sedan,ICEV,ICEV-High,Personal
2045,Sed-ICE-Hig-Private,0.026477807,Sedan,ICEV,ICEV-High,Personal
2046,Sed-ICE-Hig-Private,0.022415293,Sedan,ICEV,ICEV-High,Personal
2047,Sed-ICE-Hig-Private,0.019079291,Sedan,ICEV,ICEV-High,Personal
2048,Sed-ICE-Hig-Private,0.016240972,Sedan,ICEV,ICEV-High,Personal
2049,Sed-ICE-Hig-Private,0.013745466,Sedan,ICEV,ICEV-High,Personal
2050,Sed-ICE-Hig-Private,0.011589909,Sedan,ICEV,ICEV-High,Personal
2021,Sed-ICE-Avg-Private,0.199744083,Sedan,ICEV,ICEV-Avg,Personal
2022,Sed-ICE-Avg-Private,0.201917327,Sedan,ICEV,ICEV-Avg,Personal
2023,Sed-ICE-Avg-Private,0.202868063,Sedan,ICEV,ICEV-Avg,Personal
2024,Sed-ICE-Avg-Private,0.197902324,Sedan,ICEV,ICEV-Avg,Personal
2025,Sed-ICE-Avg-Private,0.163285165,Sedan,ICEV,ICEV-Avg,Personal
2026,Sed-ICE-Avg-Private,0.156982535,Sedan,ICEV,ICEV-Avg,Personal
2027,Sed-ICE-Avg-Private,0.149405772,Sedan,ICEV,ICEV-Avg,Personal
2028,Sed-ICE-Avg-Private,0.140837983,Sedan,ICEV,ICEV-Avg,Personal
2029,Sed-ICE-Avg-Private,0.133875353,Sedan,ICEV,ICEV-Avg,Personal
2030,Sed-ICE-Avg-Private,0.125938936,Sedan,ICEV,ICEV-Avg,Personal
2031,Sed-ICE-Avg-Private,0.125548205,Sedan,ICEV,ICEV-Avg,Personal
2032,Sed-ICE-Avg-Private,0.124171925,Sedan,ICEV,ICEV-Avg,Personal
2033,Sed-ICE-Avg-Private,0.123598638,Sedan,ICEV,ICEV-Avg,Personal
2034,Sed-ICE-Avg-Private,0.121527164,Sedan,ICEV,ICEV-Avg,Personal
2035,Sed-ICE-Avg-Private,0.127969349,Sedan,ICEV,ICEV-Avg,Personal
2036,Sed-ICE-Avg-Private,0.118021438,Sedan,ICEV,ICEV-Avg,Personal
2037,Sed-ICE-Avg-Private,0.10753353,Sedan,ICEV,ICEV-Avg,Personal
2038,Sed-ICE-Avg-Private,0.096641062,Sedan,ICEV,ICEV-Avg,Personal
2039,Sed-ICE-Avg-Private,0.085702717,Sedan,ICEV,ICEV-Avg,Personal
2040,Sed-ICE-Avg-Private,0.074561662,Sedan,ICEV,ICEV-Avg,Personal
2041,Sed-ICE-Avg-Private,0.066002446,Sedan,ICEV,ICEV-Avg,Personal
2042,Sed-ICE-Avg-Private,0.058037374,Sedan,ICEV,ICEV-Avg,Personal
2043,Sed-ICE-Avg-Private,0.050593345,Sedan,ICEV,ICEV-Avg,Personal
2044,Sed-ICE-Avg-Private,0.043837265,Sedan,ICEV,ICEV-Avg,Personal
2045,Sed-ICE-Avg-Private,0.037933656,Sedan,ICEV,ICEV-Avg,Personal
2046,Sed-ICE-Avg-Private,0.032336956,Sedan,ICEV,ICEV-Avg,Personal
2047,Sed-ICE-Avg-Private,0.027493402,Sedan,ICEV,ICEV-Avg,Personal
2048,Sed-ICE-Avg-Private,0.023269775,Sedan,ICEV,ICEV-Avg,Personal
2049,Sed-ICE-Avg-Private,0.019586427,Sedan,ICEV,ICEV-Avg,Personal
2050,Sed-ICE-Avg-Private,0.016415992,Sedan,ICEV,ICEV-Avg,Personal
2021,Sed-ICE-Low-Private,0.016705022,Sedan,HEV,HEV,Personal
2022,Sed-ICE-Low-Private,0.015147901,Sedan,HEV,HEV,Personal
2023,Sed-ICE-Low-Private,0.017599465,Sedan,HEV,HEV,Personal
2024,Sed-ICE-Low-Private,0.018787977,Sedan,HEV,HEV,Personal
2025,Sed-ICE-Low-Private,0.05423354,Sedan,HEV,HEV,Personal
