Year,variable,value,Type,Powertrain,Technology,Market
2021,Sed-ICE-Hig-Private,9112.082395,Sedan,ICEV,ICEV-High,Personal
2022,Sed-ICE-Hig-Private,14069.59426,Sedan,ICEV,ICEV-High,Personal
2023,Sed-ICE-Hig-Private,18993.33968,Sedan,ICEV,ICEV-High,Personal
2024,Sed-ICE-Hig-Private,23811.11492,Sedan,ICEV,ICEV-High,Personal
2025,Sed-ICE-Hig-Private,27757.42868,Sedan,ICEV,ICEV-High,Personal
2026,Sed-ICE-Hig-Private,31523.13611,Sedan,ICEV,ICEV-High,Personal
2027,Sed-ICE-Hig-Private,35079.08218,Sedan,ICEV,ICEV-High,Personal
2028,Sed-ICE-Hig-Private,38353.05453,Sedan,ICEV,ICEV-High,Personal
2029,Sed-ICE-Hig-Private,41331.21144,Sedan,ICEV,ICEV-High,Personal
2030,Sed-ICE-Hig-Private,43904.79835,Sedan,ICEV,ICEV-High,Personal
2031,Sed-ICE-Hig-Private,46042.61932,Sedan,ICEV,ICEV-High,Personal
2032,Sed-ICE-Hig-Private,47583.806,Sedan,ICEV,ICEV-High,Personal
2033,Sed-ICE-Hig-Private,48475.07344,Sedan,ICEV,ICEV-High,Personal
2034,Sed-ICE-Hig-Private,48658.27924,Sedan,ICEV,ICEV-High,Personal
2035,Sed-ICE-Hig-Private,48414.32047,Sedan,ICEV,ICEV-High,Personal
2036,Sed-ICE-Hig-Private,47528.52598,Sedan,ICEV,ICEV-High,Personal
2037,Sed-ICE-Hig-Private,46152.67048,Sedan,ICEV,ICEV-High,Personal
2038,Sed-ICE-Hig-Private,44430.40062,Sedan,ICEV,ICEV-High,Personal
2039,Sed-ICE-Hig-Private,42493.70147,Sedan,ICEV,ICEV-High,Personal
2040,Sed-ICE-Hig-Private,40363.84586,Sedan,ICEV,ICEV-High,Personal
2041,Sed-ICE-Hig-Private,38143.72055,Sedan,ICEV,ICEV-High,Personal
2042,Sed-ICE-Hig-Private,35870.08392,Sedan,ICEV,ICEV-High,Personal
2043,Sed-ICE-Hig-Private,33551.31811,Sedan,ICEV,ICEV-High,Personal
2044,Sed-ICE-Hig-Private,31206.27011,Sedan,ICEV,ICEV-High,Personal
2045,Sed-ICE-Hig-Private,28861.4946,Sedan,ICEV,ICEV-High,Personal
2046,Sed-ICE-Hig-Private,26499.60372,Sedan,ICEV,ICEV-High,Personal
2047,Sed-ICE-Hig-Private,24147.05527,Sedan,ICEV,ICEV-High,Personal
2048,Sed-ICE-Hig-Private,21828.93968,Sedan,ICEV,ICEV-High,Personal
2049,Sed-ICE-Hig-Private,19571.52733,Sedan,ICEV,ICEV-High,Personal
2050,Sed-ICE-Hig-Private,17404.94459,Sedan,ICEV,ICEV-High,Personal
2021,Sed-ICE-Avg-Private,204036.4535,Sedan,ICEV,ICEV-Avg,Personal
2022,Sed-ICE-Avg-Private,197999.1875,Sedan,ICEV,ICEV-Avg,Personal
2023,Sed-ICE-Avg-Private,191579.6711,Sedan,ICEV,ICEV-Avg,Personal
2024,Sed-ICE-Avg-Private,184346.486,Sedan,ICEV,ICEV-Avg,Personal
2025,Sed-ICE-Avg-Private,175332.3915,Sedan,ICEV,ICEV-Avg,Personal
2026,Sed-ICE-Avg-Private,165261.9052,Sedan,ICEV,ICEV-Avg,Personal
2027,Sed-ICE-Avg-Private,154152.5886,Sedan,ICEV,ICEV-Avg,Personal
2028,Sed-ICE-Avg-Private,142149.9017,Sedan,ICEV,ICEV-Avg,Personal
2029,Sed-ICE-Avg-Private,129616.4836,Sedan,ICEV,ICEV-Avg,Personal
2030,Sed-ICE-Avg-Private,116976.272,Sedan,ICEV,ICEV-Avg,Personal
2031,Sed-ICE-Avg-Private,104913.8411,Sedan,ICEV,ICEV-Avg,Personal
2032,Sed-ICE-Avg-Private,93972.16503,Sedan,ICEV,ICEV-Avg,Personal
2033,Sed-ICE-Avg-Private,84629.69901,Sedan,ICEV,ICEV-Avg,Personal
2034,Sed-ICE-Avg-Private,77035.95488,Sedan,ICEV,ICEV-Avg,Personal
2035,Sed-ICE-Avg-Private,71376.93016,Sedan,ICEV,ICEV-Avg,Personal
2036,Sed-ICE-Avg-Private,66895.10667,Sedan,ICEV,ICEV-Avg,Personal
2037,Sed-ICE-Avg-Private,63224.99011,Sedan,ICEV,ICEV-Avg,Personal
2038,Sed-ICE-Avg-Private,60047.91524,Sedan,ICEV,ICEV-Avg,Personal
2039,Sed-ICE-Avg-Private,57132.69534,Sedan,ICEV,ICEV-Avg,Personal
2040,Sed-ICE-Avg-Private,54304.98348,Sedan,ICEV,ICEV-Avg,Personal
2041,Sed-ICE-Avg-Private,51512.54427,Sedan,ICEV,ICEV-Avg,Personal
2042,Sed-ICE-Avg-Private,48702.17525,Sedan,ICEV,ICEV-Avg,Personal
2043,Sed-ICE-Avg-Private,45840.54465,Sedan,ICEV,ICEV-Avg,Personal
2044,Sed-ICE-Avg-Private,42915.46086,Sedan,ICEV,ICEV-Avg,Personal
2045,Sed-ICE-Avg-Private,39932.46736,Sedan,ICEV,ICEV-Avg,Personal
2046,Sed-ICE-Avg-Private,36884.67268,Sedan,ICEV,ICEV-Avg,Personal
2047,Sed-ICE-Avg-Private,33797.97559,Sedan,ICEV,ICEV-Avg,Personal
